Species 1	Species 2	ANT1 correlation score
Corynebacterium durum	Clostridium methylpentosum	0.5
Peptostreptococcus anaerobius	Campylobacter ureolyticus	0.74
Clostridium butyricum	Pasteurella multocida	-0.82
Veillonella dispar	Campylobacter rectus	0.55
Clostridium hungatei	Campylobacter rectus	-0.98
Robinsoniella peoriensis	Clostridium difficile	0.58
Enterococcus casseliflavus	Pasteurella multocida	-0.85
Streptococcus anginosus	Desulfovibrio D168	-0.65
Halomonas pacifica	Acinetobacter lwoffii	1.0
Alistipes massiliensis	Ruminococcus bromii	-0.48
Cronobacter dublinensis	Halomonas pacifica	0.36
Clostridium perfringens	Veillonella parvula	0.51
Bifidobacterium breve	Peptostreptococcus anaerobius	0.74
Faecalibacterium prausnitzii	Campylobacter rectus	-0.49
Bacteroides barnesiae	Parabacteroides gordonii	0.5
Clostridium cocleatum	Coprobacillus cateniformis	0.78
Actinobacillus parahaemolyticus	Pasteurella multocida	-0.46
Blautia producta	Ruminococcus gnavus	0.56
Rothia aeria	Rothia dentocariosa	1.0
Clostridium hathewayi	Cronobacter turicensis	0.9
Clostridium tyrobutyricum	Pyramidobacter piscolens	-0.74
Corynebacterium durum	Rothia aeria	0.79
Desulfovibrio D168	Pyramidobacter piscolens	0.71
Cronobacter turicensis	Aggregatibacter segnis	1.0
Enterococcus casseliflavus	Halomonas pacifica	1.0
Bacteroides ovatus	Bacteroides uniformis	0.49
Prevotella melaninogenica	Prevotella stercorea	0.58
Bacteroides acidifaciens	Clostridium saccharogumia	0.58
Bulleidia p-1630-c5	Acinetobacter johnsonii	-0.8
Clostridium hathewayi	Eubacterium dolichum	-0.47
Lactococcus garvieae	Helicobacter pullorum	0.55
Dorea formicigenerans	Veillonella dispar	-0.51
Veillonella dispar	Akkermansia muciniphila	-0.52
Peptostreptococcus anaerobius	Enterobacter ludwigii	1.0
Clostridium hathewayi	Robinsoniella peoriensis	0.83
Nelumbo nucifera	Klebsiella oxytoca	-0.58
Clostridium botulinum	Clostridium tyrobutyricum	0.7
Ruminococcus bromii	Desulfovibrio D168	-0.42
Rothia aeria	Campylobacter ureolyticus	1.0
Cronobacter turicensis	Enterobacter arachidis	0.67
Bacteroides eggerthii	Prevotella copri	-0.65
Clostridium botulinum	Clostridium perfringens	-0.67
Clostridium maritimum	Aggregatibacter pneumotropica	0.92
Parabacteroides gordonii	Helicobacter pullorum	0.7
Peptostreptococcus anaerobius	Citrobacter freundii	0.0
Butyricicoccus pullicaecorum	Pasteurella multocida	-0.99
Clostridium saccharogumia	Halomonas pacifica	0.79
Bifidobacterium breve	Lactobacillus zeae	-0.55
Clostridium perfringens	Halomonas pacifica	-0.4
Rothia aeria	Clostridium maritimum	0.46
Veillonella dispar	Eubacterium dolichum	0.39
Bulleidia p-1630-c5	Spirodela polyrhiza	-1.0
Robinsoniella peoriensis	Cronobacter turicensis	-0.99
Variovorax paradoxus	Xylophilus ampelinus	0.0
