Species 1	Species 2	NW correlation score
Eggerthella lenta	Clostridium cocleatum	0.51
Prevotella tannerae	Clostridium botulinum	0.99
Rothia mucilaginosa	Actinobacillus parahaemolyticus	0.65
Prevotella nigrescens	Butyricicoccus pullicaecorum	0.92
Oxalobacter formigenes	Aggregatibacter pneumotropica	0.53
Clostridium hungatei	Bulleidia p-1630-c5	-0.7
Enterococcus casseliflavus	Ruminococcus gnavus	0.4
Clostridium difficile	Clostridium cocleatum	0.72
Lactobacillus zeae	Clostridium butyricum	0.47
Prevotella nigrescens	Nelumbo nucifera	0.67
Enterococcus casseliflavus	Cronobacter dublinensis	0.95
Eggerthella lenta	Ruminococcus gnavus	0.36
Lactococcus garvieae	Megamonas hypermegale	-1.0
Coprobacillus cateniformis	Eubacterium dolichum	0.51
Bacteroides coprophilus	Lactobacillus zeae	0.67
Campylobacter ureolyticus	Escherichia coli	0.6
Parabacteroides gordonii	Dechloromonas fungiphilus	0.52
Enterococcus casseliflavus	Faecalibacterium prausnitzii	-0.47
Mitsuokella multacida	Eubacterium cylindroides	1.0
Dorea formicigenerans	Faecalibacterium prausnitzii	0.36
Bacteroides barnesiae	Prevotella melaninogenica	0.52
Lactobacillus plantarum	Oxalobacter formigenes	0.63
Enterococcus casseliflavus	Coprobacillus cateniformis	0.47
Blautia producta	Clostridium cocleatum	0.39
Dorea formicigenerans	Coprobacillus cateniformis	-0.49
Prevotella nigrescens	Prevotella stercorea	0.97
Bifidobacterium animalis	Acinetobacter lwoffii	0.51
Roseburia faecis	Faecalibacterium prausnitzii	0.54
Shuttleworthia satelles	Ruminococcus callidus	0.0
Prevotella stercorea	Clostridium hungatei	-0.74
Alistipes massiliensis	Mitsuokella multacida	0.72
Lactobacillus iners	Coprobacillus cateniformis	0.65
Prevotella melaninogenica	Lactobacillus zeae	0.69
Clostridium butyricum	Nelumbo nucifera	0.59
Prevotella nigrescens	Myristica fragrans	1.0
Enterococcus casseliflavus	Clostridium cocleatum	0.9
Lactobacillus brevis	Lactobacillus plantarum	0.82
Veillonella parvula	Coprobacillus cateniformis	0.63
Lactococcus garvieae	Bulleidia moorei	-0.61
Streptococcus anginosus	Clostridium botulinum	0.95
Escherichia blattae	Plesiomonas shigelloides	0.0
Cronobacter dublinensis	Escherichia coli	-0.81
Clostridium perfringens	Ruminococcus flavefaciens	0.54
