SampleID	ERR1328347	ERR1328355	ERR1328364	ERR1328369	ERR1328374	ERR1328375	ERR1328379	ERR1328381	ERR1328382	ERR1328385	ERR1328387	ERR1328388	ERR1328389	ERR1328390	ERR1328391	ERR1328392	ERR1328393	ERR1328396	ERR1328397	ERR1328398	ERR1328399	ERR1328400	ERR1328402	ERR1328404	ERR1328405	ERR1328407	ERR1328408	ERR1328409	ERR1328411	ERR1328414	ERR1328416	ERR1328418	ERR1328419	ERR1328420	ERR1328421	ERR1328422	ERR1328425	ERR1328427	ERR1328430	ERR1328431	ERR1328432	ERR1328433	ERR1328434	ERR1328435
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__durum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__aeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__nasimurium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	371	0	162	287	19	30	21	139	27	104	82	0	9	153	2	48	3	41	91	19	197	269	126	1	25	20	21	9	88	29	47	101	13	1	76	11	4	30	158	5	34	99	0	45
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis	6	0	1	19	2	0	7	8	0	3	1	0	3	4	2	0	1	9	6	5	1	5	6	0	0	0	0	5	1	0	2	2	0	0	14	4	0	0	7	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum	1041	0	1	0	88	35	0	1	0	2	0	0	0	0	0	0	70	6	93	0	1	1	0	0	0	0	1	0	108	0	105	0	66	0	0	114	0	106	113	15	0	0	0	6
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
