SampleID	ERR1328436	ERR1328437	ERR1328438	ERR1328439	ERR1328441	ERR1328442	ERR1328443	ERR1328444	ERR1328445	ERR1328446	ERR1328447	ERR1328448	ERR1328449	ERR1328450	ERR1328451	ERR1328452	ERR1328453	ERR1328454	ERR1328455	ERR1328456	ERR1328457	ERR1328458	ERR1328459	ERR1328460	ERR1328461	ERR1328462	ERR1328463	ERR1328464	ERR1328465	ERR1328466	ERR1328467	ERR1328468	ERR1328469	ERR1328470	ERR1328471	ERR1328472	ERR1328473	ERR1328474	ERR1328475	ERR1328476	ERR1328477	ERR1328478	ERR1328479	ERR1328480	ERR1328481	ERR1328482	ERR1328483	ERR1328484	ERR1328485	ERR1328486	ERR1328487	ERR1328488	ERR1328489	ERR1328490
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__durum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__aeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__nasimurium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	0	4	2	53	124	47	10	20	0	66	0	520	0	0	83	8	3	6	2	5	3	3	110	1	9	217	25	39	249	65	0	254	19	1	17	1	13	101	63	0	0	0	0	47	4	61	0	0	47	11	27	20	14	47
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis	0	0	0	1	0	0	0	4	1	0	0	1	0	0	20	1	3	0	0	0	1	0	1	3	1	1	0	0	0	4	0	0	0	0	0	0	0	2	3	0	0	0	0	0	10	2	0	0	2	0	0	9	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum	0	0	0	157	61	0	1	1	0	0	2	602	0	0	239	32	63	0	0	0	0	0	57	0	22	0	0	0	0	520	0	1	0	0	0	0	18	0	0	0	0	0	0	1	15	0	0	0	118	0	1	51	44	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum	17	25	49	554	908	328	46	267	6	551	3	8071	5	2	1108	143	86	334	133	179	50	13	731	6	214	1906	276	391	3737	1211	0	2443	194	1	420	47	70	6114	1718	0	1	3	12	604	146	564	18	0	800	360	341	241	127	617
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	0	0	1	16	12	7	2	6	0	7	0	72	0	0	30	1	1	4	1	2	3	1	4	0	2	15	1	9	31	4	0	19	6	0	2	1	1	35	10	0	0	0	0	7	5	6	0	0	8	4	1	2	0	8
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens	11	2	24	36	24	111	35	129	4	15	0	569	6	205	32	37	11	0	51	0	12	15	152	0	4	21	64	29	0	252	5	0	0	0	13	15	48	0	62	3	28	20	0	128	68	61	4	0	49	0	37	49	0	16
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta	0	0	1	0	0	0	0	0	0	0	0	0	2	2	14	1	1	21	2	2	1	0	3	8	0	2	0	0	9	1	1	29	2	11	5	1	2	9	5	0	0	3	0	3	0	0	0	0	0	0	0	0	4	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__acidifaciens	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__barnesiae	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	3	2	234	39	6	41	13	11	7	35	276	11	7	170	96	88	287	19	16	13	127	10	7	4	111	8	3	15	22	26	7	105	2	8	29	107	13	41	110	0	18	26	2	14	50	16	9	12	4	21	6	13	10	42
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprophilus	1	0	2	0	0	267	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	123	0	1	0	1736	0	1	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii	8	10	27	8	60	41	1	10	67	7	73	6	20	13	213	6	33	19	51	103	20	4	48	5	17	42	30	46	23	28	7	5	2	11	88	15	15	142	169	5	17	20	3	14	24	2	4	3	12	3	5	9	6	16
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	5	11	43	3	81	6	3	2	2	2	37	10	11	6	10	11	386	5	328	9	19	1	69	14	32	65	6	20	271	34	15	57	1	65	119	36	11	6	9	19	4	18	9	119	16	0	1	2	5	4	6	10	8	9
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	23	20	254	136	83	63	36	236	49	75	1208	427	82	62	192	123	218	2087	31	183	285	19	82	119	245	111	13	166	144	1290	192	520	55	7	377	2386	81	572	363	26	117	104	107	55	53	64	28	61	447	48	54	100	108	107
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius	7	0	0	3	1	0	2	1	9	572	0	4	2052	1	2	2	2	18	3	3	9	0	1	687	4	11	50	4	366	1	3	1	461	18	1	2	565	4	2	0	12	2	0	6	2	209	1	3	5672	7	12	892	1	3
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	1899	2854	11483	557	4052	5340	299	1613	1753	928	7575	2944	4450	3491	18158	1710	622	10392	22902	6255	3537	147	5570	889	2474	1973	1424	4745	4246	6751	1177	1058	336	10337	4743	6288	575	4287	7216	440	3178	8098	47	1902	2306	335	236	548	1898	1377	1107	591	2580	1447
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	0	2	4	23	2	1	0	0	1	1	14	5	1	5	5	2	15	1	1	6	2	5	10	1	3	7	1	0	3	4	1	5	2	0	1	6	5	4	8	1	3	1	1	4	14	2	0	0	5	0	0	1	0	1
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__gordonii	2	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
